dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,sobolev,mih_m32_b32,mih,8192,256,32,32,10,80,24.050,1.719,14.896,14.944,16.257,67130.0,68941.1,0.008333,3832.644,257.29,0
gaussian,sobolev,mih_m32_b32,mih,8192,256,32,32,10,160,24.050,1.719,17.441,17.536,19.072,57337.5,57252.2,0.006250,3832.644,219.75,0
gaussian,sobolev,mih_m32_b32,mih,8192,256,32,32,10,8192,24.050,1.719,179.698,179.398,182.887,5564.9,5578.2,0.002083,3832.644,21.33,0
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,10,42.425,2.313,28.466,28.449,31.105,35130.1,42917.0,0.008333,3833.519,134.67,0
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,20,42.425,2.313,24.153,24.321,26.273,41402.0,42744.6,0.006250,3833.519,158.72,0
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,40,42.425,2.313,25.663,25.793,28.033,38966.8,40942.0,0.006250,3833.519,149.38,0
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,80,42.425,2.313,28.734,28.865,31.009,34802.4,36907.3,0.004167,3833.519,133.42,0
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,160,42.425,2.313,30.430,30.241,33.217,32862.7,33104.9,0.002083,3833.519,125.98,0
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,8192,42.425,2.313,181.005,180.390,182.726,5524.7,5505.4,0.020833,3833.519,21.18,0
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,10,42.425,2.313,28.902,28.832,32.129,34599.4,44947.7,0.000000,3828.334,132.46,0
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,20,42.425,2.313,22.826,22.977,24.769,43809.5,43749.5,0.000000,3828.334,167.72,0
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,40,42.425,2.313,24.419,24.512,26.753,40950.9,41354.0,0.002083,3828.334,156.77,0
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,80,42.425,2.313,27.507,27.649,29.313,36354.5,34250.1,0.004167,3828.334,139.18,0
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,160,42.425,2.313,31.291,31.169,34.273,31958.0,32818.8,0.002083,3828.334,122.35,0
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,8192,42.425,2.313,182.710,181.574,188.039,5473.2,5486.3,0.000000,3828.334,20.95,0
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,10,42.425,2.313,28.044,28.257,30.465,35658.0,43760.9,0.000000,3832.644,136.66,0
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,20,42.425,2.313,23.471,23.424,25.345,42606.2,44066.9,0.000000,3832.644,163.29,0
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,40,42.425,2.313,24.998,24.865,27.361,40002.9,41583.2,0.004167,3832.644,153.32,0
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,80,42.425,2.313,28.211,28.001,30.689,35447.2,37674.9,0.006250,3832.644,135.86,0
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,160,42.425,2.313,30.177,29.793,32.737,33137.8,33410.2,0.004167,3832.644,127.01,0
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,8192,42.425,2.313,180.907,180.422,185.478,5527.7,5531.8,0.002083,3832.644,21.19,0
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,40.391,2.313,26.318,26.177,28.513,37997.5,44543.3,0.008333,3833.519,145.66,0
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,40.391,2.313,23.948,24.001,25.889,41756.9,42722.7,0.008333,3833.519,160.08,0
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,40.391,2.313,25.005,25.088,27.169,39991.2,41330.0,0.006250,3833.519,153.31,0
