dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,20,6.115,1.641,6.126,5.440,8.744,163227.0,0.040625,373.862,61.02
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,40,6.115,1.641,8.894,8.240,13.275,112433.8,0.071875,373.862,42.03
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,80,6.115,1.641,9.939,9.213,14.087,100616.9,0.081250,373.862,37.62
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,160,6.115,1.641,11.716,11.376,11.847,85356.8,0.090625,373.862,31.91
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,6.115,1.641,84.506,84.257,98.255,11833.5,0.178125,373.862,4.42
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,10,6.115,1.641,3.644,3.379,5.413,274433.1,0.025000,379.464,104.14
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,20,6.115,1.641,5.317,5.006,7.387,188071.6,0.018750,379.464,71.37
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,40,6.115,1.641,7.847,7.711,8.350,127438.8,0.031250,379.464,48.36
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,80,6.115,1.641,9.591,9.047,9.649,104268.5,0.028125,379.464,39.57
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,160,6.115,1.641,11.483,11.322,12.074,87087.6,0.025000,379.464,33.05
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,4096,6.115,1.641,84.799,85.916,100.047,11792.6,0.009375,379.464,4.47
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,10,6.115,1.641,2.996,3.024,3.490,333809.7,0.021875,384.662,128.40
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,20,6.115,1.641,4.800,4.810,5.565,208336.0,0.025000,384.662,80.14
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,40,6.115,1.641,7.586,7.575,8.176,131821.2,0.053125,384.662,50.71
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,80,6.115,1.641,9.186,8.689,9.520,108860.9,0.046875,384.662,41.87
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,160,6.115,1.641,11.250,11.284,11.883,88891.1,0.043750,384.662,34.19
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,4096,6.115,1.641,84.539,85.668,96.096,11828.9,0.056250,384.662,4.55
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.142,1.641,4.321,3.304,14.119,231426.2,0.021875,373.862,86.52
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.142,1.641,4.152,4.178,4.627,240855.0,0.040625,373.862,90.05
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.142,1.641,7.061,7.174,7.731,141630.5,0.068750,373.862,52.95
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.142,1.641,8.846,8.968,9.329,113045.0,0.081250,373.862,42.26
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.142,1.641,11.468,11.217,11.955,87196.3,0.090625,373.862,32.60
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.142,1.641,83.740,83.875,95.429,11941.7,0.178125,373.862,4.46
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.142,1.641,3.055,3.083,3.560,327328.9,0.025000,379.464,124.21
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.142,1.641,4.668,4.208,4.711,214213.0,0.025000,379.464,81.29
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.142,1.641,7.080,7.180,7.803,141249.2,0.028125,379.464,53.60
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.142,1.641,8.997,8.967,9.826,111150.1,0.028125,379.464,42.18
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.142,1.641,11.560,11.280,12.104,86503.1,0.025000,379.464,32.82
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.142,1.641,84.099,84.537,97.088,11890.7,0.009375,379.464,4.51
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.142,1.641,3.035,3.096,3.521,329492.7,0.021875,384.662,126.74
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.142,1.641,4.221,4.075,4.487,236928.2,0.028125,384.662,91.14
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.142,1.641,6.910,6.954,7.565,144719.8,0.053125,384.662,55.67
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.142,1.641,8.853,8.861,9.414,112951.3,0.046875,384.662,43.45
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.142,1.641,11.436,11.145,11.930,87444.6,0.043750,384.662,33.64
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.142,1.641,84.535,85.050,100.542,11829.4,0.056250,384.662,4.55
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,10,2.636,0.570,1.679,1.142,1.896,595503.9,0.012500,373.862,222.64
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,20,2.636,0.570,2.063,1.729,1.810,484819.1,0.025000,373.862,181.26
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,40,2.636,0.570,2.523,2.551,2.752,396368.3,0.040625,373.862,148.19
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,80,2.636,0.570,4.007,3.732,4.064,249532.1,0.053125,373.862,93.29
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,160,2.636,0.570,5.729,5.782,6.147,174537.2,0.084375,373.862,65.25
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,4096,2.636,0.570,82.612,81.335,92.793,12104.8,0.178125,373.862,4.53
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,10,2.636,0.570,1.272,1.099,1.743,786047.7,0.009375,379.464,298.28
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,20,2.636,0.570,1.901,1.673,2.532,526134.1,0.009375,379.464,199.65
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,40,2.636,0.570,2.333,2.358,2.525,428655.6,0.006250,379.464,162.66
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,80,2.636,0.570,3.463,3.479,3.741,288782.6,0.006250,379.464,109.58
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,160,2.636,0.570,5.437,5.401,5.968,183940.8,0.006250,379.464,69.80
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,4096,2.636,0.570,83.189,82.684,95.056,12020.8,0.009375,379.464,4.56
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,10,2.636,0.570,1.053,1.037,1.133,949442.2,0.009375,384.662,365.21
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,20,2.636,0.570,1.616,1.622,1.758,618955.5,0.009375,384.662,238.09
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,40,2.636,0.570,2.402,2.413,2.614,416336.0,0.015625,384.662,160.15
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,80,2.636,0.570,3.580,3.608,3.793,279356.4,0.012500,384.662,107.46
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,160,2.636,0.570,5.616,5.632,6.029,178066.6,0.021875,384.662,68.50
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,4096,2.636,0.570,91.613,91.320,117.164,10915.5,0.056250,384.662,4.20
gaussian,identity,gray_full,gray,4096,64,64,64,10,10,4.521,1.078,2.635,2.089,2.558,379565.2,0.012500,373.862,141.91
gaussian,identity,gray_full,gray,4096,64,64,64,10,20,4.521,1.078,2.233,1.965,3.114,447890.7,0.025000,373.862,167.45
gaussian,identity,gray_full,gray,4096,64,64,64,10,40,4.521,1.078,3.190,2.938,4.369,313488.8,0.037500,373.862,117.20
gaussian,identity,gray_full,gray,4096,64,64,64,10,80,4.521,1.078,4.934,4.261,6.664,202693.3,0.056250,373.862,75.78
gaussian,identity,gray_full,gray,4096,64,64,64,10,160,4.521,1.078,7.208,6.561,10.021,138725.7,0.090625,373.862,51.86
gaussian,identity,gray_full,gray,4096,64,64,64,10,4096,4.521,1.078,98.246,97.184,118.346,10178.5,1.000000,373.862,3.81
gaussian,matern,gray_full,gray,4096,64,64,64,10,10,4.521,1.078,1.329,1.293,1.564,752180.1,0.031250,379.464,285.43
gaussian,matern,gray_full,gray,4096,64,64,64,10,20,4.521,1.078,1.832,1.827,2.021,545721.2,0.046875,379.464,207.08
gaussian,matern,gray_full,gray,4096,64,64,64,10,40,4.521,1.078,2.700,2.715,2.917,370318.9,0.075000,379.464,140.52
gaussian,matern,gray_full,gray,4096,64,64,64,10,80,4.521,1.078,4.040,3.921,4.495,247534.3,0.121875,379.464,93.93
gaussian,matern,gray_full,gray,4096,64,64,64,10,160,4.521,1.078,6.869,6.219,6.777,145590.9,0.175000,379.464,55.25
gaussian,matern,gray_full,gray,4096,64,64,64,10,4096,4.521,1.078,96.757,96.267,110.496,10335.1,1.000000,379.464,3.92
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,10,4.521,1.078,1.309,1.274,1.546,763796.1,0.025000,384.662,293.80
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,20,4.521,1.078,1.849,1.864,2.045,540960.9,0.037500,384.662,208.09
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,40,4.521,1.078,2.729,2.754,2.972,366480.8,0.062500,384.662,140.97
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,80,4.521,1.078,4.009,4.029,4.452,249444.6,0.093750,384.662,95.95
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,160,4.521,1.078,7.759,6.679,10.008,128881.5,0.137500,384.662,49.58
gaussian,sobolev,gray_full,gray,4096,64,64,64,10,4096,4.521,1.078,100.057,99.388,121.028,9994.3,1.000000,384.662,3.84
