dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,sobolev,mih_m32_b32,mih,4096,64,32,32,10,160,2.249,1.102,12.689,12.865,13.985,78811.5,439349.2,0.031250,459.464,36.21,1
gaussian,sobolev,mih_m32_b32,mih,4096,64,32,32,10,4096,2.249,1.102,27.467,27.425,29.953,36407.2,56530.1,0.062500,459.464,16.73,1
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,10,4.345,1.641,16.847,16.608,19.041,59358.9,345886.1,0.056250,460.347,27.33,1
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,20,4.345,1.641,14.517,14.721,16.224,68886.8,376492.7,0.059375,460.347,31.71,1
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,40,4.345,1.641,15.516,15.841,17.216,64451.4,356490.4,0.071875,460.347,29.67,1
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,80,4.345,1.641,16.939,17.281,18.753,59036.6,303844.6,0.093750,460.347,27.18,1
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,160,4.345,1.641,20.452,20.033,21.633,48895.5,258989.8,0.096875,460.347,22.51,1
gaussian,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,4.345,1.641,28.004,28.065,29.793,35709.1,39178.8,0.196875,460.347,16.44,1
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,10,4.345,1.641,15.210,15.265,17.217,65748.0,400465.5,0.040625,456.555,30.02,1
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,20,4.345,1.641,14.747,13.569,15.457,67812.3,402885.7,0.021875,456.555,30.96,1
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,40,4.345,1.641,17.828,15.201,16.513,56092.5,364551.9,0.018750,456.555,25.61,1
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,80,4.345,1.641,16.363,16.609,18.049,61114.9,325084.3,0.018750,456.555,27.90,1
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,160,4.345,1.641,19.150,19.713,20.833,52220.0,267943.9,0.012500,456.555,23.84,1
gaussian,matern,mih_m32_b64,mih,4096,64,32,64,10,4096,4.345,1.641,27.845,27.777,29.697,35913.0,57347.2,0.006250,456.555,16.40,1
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,10,4.345,1.641,13.585,13.761,15.712,73607.9,408648.0,0.046875,459.464,33.82,1
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,20,4.345,1.641,13.053,13.216,14.688,76607.8,410156.5,0.028125,459.464,35.20,1
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,40,4.345,1.641,14.384,14.400,16.353,69524.0,380789.2,0.031250,459.464,31.94,1
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,80,4.345,1.641,15.968,16.128,17.601,62626.7,322880.1,0.043750,459.464,28.77,1
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,160,4.345,1.641,19.521,19.009,21.153,51227.5,271138.2,0.040625,459.464,23.54,1
gaussian,sobolev,mih_m32_b64,mih,4096,64,32,64,10,4096,4.345,1.641,28.074,28.097,29.793,35620.0,57761.2,0.062500,459.464,16.37,1
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,3.302,1.641,17.746,17.697,19.649,56351.7,202094.2,0.056250,460.347,25.94,1
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,3.302,1.641,16.891,15.873,18.433,59204.3,367769.6,0.059375,460.347,27.25,1
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,3.302,1.641,15.966,16.289,17.665,62634.6,349390.7,0.078125,460.347,28.83,1
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,3.302,1.641,17.434,17.504,19.201,57360.4,306173.2,0.093750,460.347,26.41,1
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,3.302,1.641,19.715,19.872,21.249,50723.4,261975.1,0.096875,460.347,23.35,1
gaussian,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,3.302,1.641,27.940,28.193,29.377,35790.9,57581.6,0.196875,460.347,16.48,1
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,3.302,1.641,19.279,14.689,16.705,51870.8,411845.7,0.040625,456.555,23.68,1
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,3.302,1.641,13.678,13.857,15.393,73112.6,399825.1,0.028125,456.555,33.38,1
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,3.302,1.641,14.646,15.136,16.385,68279.9,364419.0,0.025000,456.555,31.17,1
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,3.302,1.641,16.493,16.577,18.145,60633.2,214952.6,0.018750,456.555,27.68,1
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,3.302,1.641,19.512,19.777,21.057,51251.2,268805.9,0.012500,456.555,23.40,1
gaussian,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,3.302,1.641,27.799,27.842,29.729,35972.4,58059.7,0.006250,456.555,16.42,1
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,3.302,1.641,13.454,13.696,15.584,74324.6,406819.3,0.046875,459.464,34.15,1
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,3.302,1.641,14.145,13.761,15.584,70698.5,412355.2,0.040625,459.464,32.48,1
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,3.302,1.641,14.617,14.880,16.545,68415.4,383863.3,0.037500,459.464,31.43,1
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,3.302,1.641,16.130,16.288,17.921,61997.7,315246.1,0.043750,459.464,28.49,1
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,3.302,1.641,18.925,19.073,20.417,52840.9,271582.3,0.040625,459.464,24.28,1
gaussian,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,3.302,1.641,27.674,27.681,29.601,36134.9,58242.2,0.062500,459.464,16.60,1
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,10,1.607,0.570,2.200,2.144,2.528,454526.1,2551020.4,0.015625,460.347,209.24,1
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,20,1.607,0.570,2.633,2.656,2.880,379781.4,2049049.1,0.025000,460.347,174.83,1
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,40,1.607,0.570,3.629,3.680,3.904,275548.5,1499180.1,0.050000,460.347,126.85,1
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,80,1.607,0.570,5.115,5.121,5.504,195497.4,1077513.6,0.081250,460.347,90.00,1
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,160,1.607,0.570,7.892,7.936,8.256,126705.6,679780.8,0.081250,460.347,58.33,1
gaussian,identity,gray_m32_b32,gray,4096,64,32,32,10,4096,1.607,0.570,28.171,27.489,28.961,35497.4,48584.3,0.196875,460.347,16.34,1
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,10,1.607,0.570,1.897,1.920,2.016,527122.1,2702474.5,0.006250,456.555,240.66,1
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,20,1.607,0.570,2.458,2.496,2.656,406819.3,2164502.2,0.006250,456.555,185.74,1
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,40,1.607,0.570,3.367,3.361,3.616,296986.5,1567321.3,0.006250,456.555,135.59,1
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,80,1.607,0.570,4.792,4.864,5.216,208674.3,1116032.5,0.006250,456.555,95.27,1
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,160,1.607,0.570,7.487,7.553,7.937,133559.8,712219.0,0.006250,456.555,60.98,1
gaussian,matern,gray_m32_b32,gray,4096,64,32,32,10,4096,1.607,0.570,28.055,28.161,29.441,35644.2,57941.8,0.006250,456.555,16.27,1
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,10,1.607,0.570,1.846,1.856,1.920,541693.5,2673573.4,0.009375,459.464,248.89,1
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,20,1.607,0.570,2.419,2.432,2.560,413377.9,2192982.5,0.012500,459.464,189.93,1
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,40,1.607,0.570,3.401,3.392,3.712,294020.4,1555134.4,0.021875,459.464,135.09,1
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,80,1.607,0.570,4.893,4.897,5.344,204365.8,1042684.9,0.025000,459.464,93.90,1
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,160,1.607,0.570,7.601,7.649,7.937,131556.8,686312.4,0.028125,459.464,60.45,1
gaussian,sobolev,gray_m32_b32,gray,4096,64,32,32,10,4096,1.607,0.570,27.599,27.777,29.345,36233.1,58378.3,0.062500,459.464,16.65,1
gaussian,identity,gray_full,gray,4096,64,64,64,10,10,1.884,1.078,2.439,2.400,2.688,409993.6,2303981.6,0.012500,460.347,188.74,1
gaussian,identity,gray_full,gray,4096,64,64,64,10,20,1.884,1.078,2.937,2.977,3.168,340469.0,1919385.8,0.018750,460.347,156.73,1
gaussian,identity,gray_full,gray,4096,64,64,64,10,40,1.884,1.078,4.023,4.097,4.384,248559.1,1369804.4,0.046875,460.347,114.42,1
gaussian,identity,gray_full,gray,4096,64,64,64,10,80,1.884,1.078,6.028,6.145,6.432,165885.6,925015.9,0.062500,460.347,76.36,1
gaussian,identity,gray_full,gray,4096,64,64,64,10,160,1.884,1.078,9.646,9.696,10.433,103665.9,226644.9,0.093750,460.347,47.72,1
gaussian,identity,gray_full,gray,4096,64,64,64,10,4096,1.884,1.078,35.713,35.777,37.346,28000.7,38508.9,1.000000,460.347,12.89,1
gaussian,matern,gray_full,gray,4096,64,64,64,10,10,1.884,1.078,2.113,2.176,2.272,473246.8,607879.6,0.018750,456.555,216.06,1
