dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,40,5.207,1.641,3.473,2.912,4.341,287956.2,0.434375,384.877,110.83
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,80,5.207,1.641,4.092,4.202,4.511,244386.7,0.540625,384.877,94.06
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,160,5.207,1.641,6.544,6.632,7.319,152822.7,0.625000,384.877,58.82
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,5.207,1.641,79.743,76.701,91.092,12540.3,0.706250,384.877,4.83
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,10,5.207,1.641,1.332,1.324,1.456,750662.7,0.178125,376.793,282.84
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,20,5.207,1.641,1.802,1.820,1.942,554842.7,0.265625,376.793,209.06
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,40,5.207,1.641,2.845,2.791,3.040,351520.9,0.375000,376.793,132.45
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,80,5.207,1.641,3.981,3.998,4.464,251187.3,0.446875,376.793,94.65
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,160,5.207,1.641,6.497,6.552,7.566,153911.3,0.471875,376.793,57.99
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,4096,5.207,1.641,79.795,78.002,91.991,12532.1,0.506250,376.793,4.72
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,10,5.207,1.641,1.266,1.272,1.370,789714.0,0.175000,395.869,312.62
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,20,5.207,1.641,1.773,1.783,2.008,564005.9,0.265625,395.869,223.27
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,40,5.207,1.641,2.644,2.619,3.004,378272.9,0.412500,395.869,149.75
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,80,5.207,1.641,3.874,3.933,4.264,258149.9,0.503125,395.869,102.19
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,160,5.207,1.641,6.596,6.431,7.687,151597.7,0.578125,395.869,60.01
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,4096,5.207,1.641,81.237,77.721,99.486,12309.7,0.646875,395.869,4.87
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.226,1.641,2.369,1.415,2.468,422080.1,0.181250,384.877,162.45
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.226,1.641,2.857,2.126,3.406,350021.3,0.321875,384.877,134.72
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.226,1.641,2.918,2.963,3.225,342726.2,0.434375,384.877,131.91
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.226,1.641,4.182,4.150,4.743,239118.3,0.540625,384.877,92.03
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.226,1.641,6.517,6.427,7.361,153436.0,0.625000,384.877,59.05
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.226,1.641,76.579,75.802,87.712,13058.4,0.706250,384.877,5.03
