dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,sobolev,mih_m32_b32,mih,8192,256,32,32,10,80,6.272,1.719,14.761,14.752,16.768,67748.0,404295.6,0.008333,3850.789,260.88,1
gaussian,sobolev,mih_m32_b32,mih,8192,256,32,32,10,160,6.272,1.719,17.639,17.889,19.297,56693.6,352179.8,0.006250,3850.789,218.32,1
gaussian,sobolev,mih_m32_b32,mih,8192,256,32,32,10,8192,6.272,1.719,44.762,44.738,46.593,22340.2,23107.0,0.002083,3850.789,86.03,1
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,10,8.134,2.313,25.285,24.641,26.913,39549.2,260859.6,0.008333,3856.799,152.53,1
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,20,8.134,2.313,22.162,22.209,24.193,45123.3,277766.5,0.006250,3856.799,174.03,1
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,40,8.134,2.313,23.358,23.393,25.281,42812.7,229489.4,0.006250,3856.799,165.12,1
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,80,8.134,2.313,26.628,26.401,28.961,37554.9,231115.9,0.004167,3856.799,144.84,1
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,160,8.134,2.313,28.782,28.769,32.513,34743.4,174615.3,0.002083,3856.799,134.00,1
gaussian,identity,mih_m32_b64,mih,8192,256,32,64,10,8192,8.134,2.313,51.156,45.249,53.890,19548.1,32658.5,0.020833,3856.799,75.39,1
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,10,8.134,2.313,36.085,30.049,36.737,27712.0,261587.5,0.000000,3852.503,106.76,1
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,20,8.134,2.313,21.319,21.441,23.745,46907.0,285974.7,0.000000,3852.503,180.71,1
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,40,8.134,2.313,23.894,23.137,25.409,41851.1,270651.3,0.002083,3852.503,161.23,1
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,80,8.134,2.313,25.857,26.113,28.769,38674.3,243300.4,0.004167,3852.503,148.99,1
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,160,8.134,2.313,27.934,27.713,31.586,35798.2,210458.9,0.002083,3852.503,137.91,1
gaussian,matern,mih_m32_b64,mih,8192,256,32,64,10,8192,8.134,2.313,44.976,45.122,46.402,22233.9,31833.1,0.000000,3852.503,85.66,1
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,10,8.134,2.313,28.130,28.129,32.065,35549.6,283758.4,0.000000,3850.789,136.89,1
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,20,8.134,2.313,22.289,21.504,23.713,44865.5,285052.6,0.000000,3850.789,172.77,1
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,40,8.134,2.313,22.905,22.945,25.217,43658.8,268903.0,0.004167,3850.789,168.12,1
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,80,8.134,2.313,26.258,25.889,29.025,38083.1,239876.5,0.006250,3850.789,146.65,1
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,160,8.134,2.313,38.147,27.969,36.194,26214.1,84318.7,0.004167,3850.789,100.94,1
gaussian,sobolev,mih_m32_b64,mih,8192,256,32,64,10,8192,8.134,2.313,52.943,45.442,83.203,18888.3,13973.8,0.002083,3850.789,72.74,1
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,9.238,2.313,24.495,23.713,26.433,40824.7,263610.3,0.008333,3856.799,157.45,1
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,9.238,2.313,22.578,22.561,24.737,44290.5,270894.1,0.008333,3856.799,170.82,1
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,9.238,2.313,23.759,23.745,26.369,42089.5,205612.4,0.006250,3856.799,162.33,1
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,80,9.238,2.313,26.802,26.497,29.665,37311.1,172684.9,0.006250,3856.799,143.90,1
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,160,9.238,2.313,29.833,29.729,33.826,33519.8,203575.3,0.002083,3856.799,129.28,1
gaussian,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,8192,9.238,2.313,45.950,45.026,47.010,21762.6,33175.7,0.020833,3856.799,83.93,1
gaussian,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,9.238,2.313,27.214,26.209,32.321,36745.3,281839.0,0.000000,3852.503,141.56,1
gaussian,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,9.238,2.313,21.505,21.441,23.904,46499.7,282955.5,0.002083,3852.503,179.14,1
gaussian,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,9.238,2.313,23.312,22.881,26.049,42896.0,268086.0,0.002083,3852.503,165.26,1
gaussian,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,80,9.238,2.313,25.580,25.537,28.001,39093.6,246864.1,0.004167,3852.503,150.61,1
gaussian,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,160,9.238,2.313,28.076,28.001,31.234,35618.0,191367.7,0.002083,3852.503,137.22,1
gaussian,matern,hybrid_m32_b64,hybrid,8192,256,32,64,10,8192,9.238,2.313,44.536,44.642,46.594,22453.6,32635.1,0.000000,3852.503,86.50,1
gaussian,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,9.238,2.313,25.214,25.089,28.801,39661.1,290630.8,0.000000,3850.789,152.73,1
gaussian,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,9.238,2.313,21.322,21.249,23.585,46899.6,272866.8,0.002083,3850.789,180.60,1
gaussian,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,9.238,2.313,22.901,22.848,25.377,43666.5,270553.6,0.004167,3850.789,168.15,1
gaussian,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,80,9.238,2.313,28.969,26.145,29.825,34519.5,242709.9,0.006250,3850.789,132.93,1
gaussian,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,160,9.238,2.313,28.764,28.257,32.513,34765.2,212036.6,0.004167,3850.789,133.87,1
gaussian,sobolev,hybrid_m32_b64,hybrid,8192,256,32,64,10,8192,9.238,2.313,91.021,44.866,48.386,10986.5,30690.0,0.002083,3850.789,42.31,1
gaussian,identity,gray_m32_b32,gray,8192,256,32,32,10,10,5.487,1.157,4.514,4.448,4.832,221557.5,1367326.6,0.004167,3856.799,854.50,1
gaussian,identity,gray_m32_b32,gray,8192,256,32,32,10,20,5.487,1.157,4.946,4.960,5.248,202202.3,1259412.8,0.006250,3856.799,779.85,1
gaussian,identity,gray_m32_b32,gray,8192,256,32,32,10,40,5.487,1.157,5.922,5.952,6.336,168873.8,1041621.5,0.002083,3856.799,651.31,1
gaussian,identity,gray_m32_b32,gray,8192,256,32,32,10,80,5.487,1.157,7.793,7.488,7.904,128321.0,823695.0,0.002083,3856.799,494.91,1
gaussian,identity,gray_m32_b32,gray,8192,256,32,32,10,160,5.487,1.157,10.227,10.241,10.688,97779.8,591227.7,0.006250,3856.799,377.12,1
gaussian,identity,gray_m32_b32,gray,8192,256,32,32,10,8192,5.487,1.157,44.336,44.194,46.050,22554.9,31796.0,0.020833,3856.799,86.99,1
gaussian,matern,gray_m32_b32,gray,8192,256,32,32,10,10,5.487,1.157,4.270,4.256,4.577,234182.9,1407088.2,0.004167,3852.503,902.19,1
gaussian,matern,gray_m32_b32,gray,8192,256,32,32,10,20,5.487,1.157,4.784,4.800,5.025,209051.9,1237559.9,0.006250,3852.503,805.37,1
gaussian,matern,gray_m32_b32,gray,8192,256,32,32,10,40,5.487,1.157,5.715,5.760,6.112,174981.3,1072146.5,0.004167,3852.503,674.12,1
gaussian,matern,gray_m32_b32,gray,8192,256,32,32,10,80,5.487,1.157,7.207,7.264,7.617,138755.2,849332.0,0.004167,3852.503,534.55,1
gaussian,matern,gray_m32_b32,gray,8192,256,32,32,10,160,5.487,1.157,10.288,10.048,10.689,97203.2,613222.6,0.006250,3852.503,374.48,1
gaussian,matern,gray_m32_b32,gray,8192,256,32,32,10,8192,5.487,1.157,45.335,45.249,46.882,22058.0,32511.3,0.000000,3852.503,84.98,1
gaussian,sobolev,gray_m32_b32,gray,8192,256,32,32,10,10,5.487,1.157,4.223,4.192,4.608,236809.0,1450589.3,0.004167,3850.789,911.90,1
gaussian,sobolev,gray_m32_b32,gray,8192,256,32,32,10,20,5.487,1.157,4.778,4.800,4.992,209284.4,1267929.3,0.006250,3850.789,805.91,1
gaussian,sobolev,gray_m32_b32,gray,8192,256,32,32,10,40,5.487,1.157,5.767,5.792,6.016,173403.5,1048195.1,0.004167,3850.789,667.74,1
gaussian,sobolev,gray_m32_b32,gray,8192,256,32,32,10,80,5.487,1.157,7.267,7.296,7.712,137609.6,827329.4,0.004167,3850.789,529.91,1
gaussian,sobolev,gray_m32_b32,gray,8192,256,32,32,10,160,5.487,1.157,10.066,10.112,10.465,99347.4,324521.7,0.004167,3850.789,382.57,1
gaussian,sobolev,gray_m32_b32,gray,8192,256,32,32,10,8192,5.487,1.157,44.604,44.546,46.498,22419.3,31977.6,0.002083,3850.789,86.33,1
gaussian,identity,gray_full,gray,8192,256,256,64,10,10,10.916,8.376,6.119,6.049,7.168,163428.7,1167286.8,0.006250,3856.799,630.31,1
gaussian,identity,gray_full,gray,8192,256,256,64,10,20,10.916,8.376,6.766,6.752,7.585,147792.4,970834.5,0.008333,3856.799,570.01,1
gaussian,identity,gray_full,gray,8192,256,256,64,10,40,10.916,8.376,9.942,10.080,10.848,100586.3,655567.5,0.012500,3856.799,387.94,1
gaussian,identity,gray_full,gray,8192,256,256,64,10,80,10.916,8.376,15.579,15.489,17.344,64187.9,397334.5,0.016667,3856.799,247.56,1
gaussian,identity,gray_full,gray,8192,256,256,64,10,160,10.916,8.376,26.881,25.793,29.313,37201.0,196198.7,0.027083,3856.799,143.48,1
