dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,40,5.175,1.641,3.183,2.904,4.006,314193.7,0.171875,385.528,121.13
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,80,5.175,1.641,4.449,3.916,6.225,224785.4,0.253125,385.528,86.66
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,160,5.175,1.641,5.675,5.746,6.046,176202.7,0.396875,385.528,67.93
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,5.175,1.641,53.902,55.955,64.451,18552.1,0.403125,385.528,7.15
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,10,5.175,1.641,1.507,1.290,2.137,663528.7,0.043750,377.251,250.32
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,20,5.175,1.641,1.748,1.753,1.841,572225.6,0.043750,377.251,215.87
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,40,5.175,1.641,2.719,2.661,2.913,367795.0,0.093750,377.251,138.75
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,80,5.175,1.641,4.018,3.733,4.159,248901.3,0.131250,377.251,93.90
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,160,5.175,1.641,5.940,5.677,6.150,168341.3,0.184375,377.251,63.51
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,4096,5.175,1.641,46.485,47.039,54.001,21512.5,0.190625,377.251,8.12
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,10,5.175,1.641,1.231,1.221,1.286,812203.4,0.056250,370.288,300.75
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,20,5.175,1.641,1.819,1.754,1.841,549639.3,0.068750,370.288,203.52
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,40,5.175,1.641,2.802,2.637,2.852,356840.2,0.125000,370.288,132.13
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,80,5.175,1.641,3.898,3.724,4.072,256558.3,0.171875,370.288,95.00
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,160,5.175,1.641,5.660,5.626,6.112,176663.8,0.237500,370.288,65.42
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,4096,5.175,1.641,49.512,51.235,61.478,20197.2,0.265625,370.288,7.48
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.596,1.641,2.575,1.346,2.415,388363.7,0.050000,385.528,149.73
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.596,1.641,1.946,1.959,2.071,513866.4,0.103125,385.528,198.11
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.596,1.641,3.434,3.044,4.523,291205.6,0.193750,385.528,112.27
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.596,1.641,4.005,4.033,4.383,249672.3,0.275000,385.528,96.26
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.596,1.641,6.115,5.984,6.599,163543.2,0.390625,385.528,63.05
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.596,1.641,54.351,56.589,64.303,18399.1,0.403125,385.528,7.09
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.596,1.641,1.361,1.254,1.366,735023.9,0.043750,377.251,277.29
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.596,1.641,1.911,1.902,2.117,523294.8,0.075000,377.251,197.41
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.596,1.641,2.788,2.793,3.080,358728.3,0.109375,377.251,135.33
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.596,1.641,3.935,3.981,4.275,254137.7,0.140625,377.251,95.87
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.596,1.641,6.141,6.143,6.517,162842.4,0.181250,377.251,61.43
clustered,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.596,1.641,47.254,47.030,62.565,21162.1,0.190625,377.251,7.98
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,5.596,1.641,1.231,1.224,1.304,812574.6,0.056250,370.288,300.89
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,5.596,1.641,1.915,1.903,2.070,522278.4,0.100000,370.288,193.39
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,5.596,1.641,2.787,2.778,3.019,358768.5,0.153125,370.288,132.85
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,5.596,1.641,5.451,4.305,7.381,183443.1,0.203125,370.288,67.93
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,5.596,1.641,7.090,6.190,9.606,141038.1,0.253125,370.288,52.22
clustered,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,5.596,1.641,50.253,49.725,61.696,19899.5,0.265625,370.288,7.37
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,10,2.600,0.570,1.960,1.648,1.886,510122.7,0.062500,385.528,196.67
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,20,2.600,0.570,2.148,1.608,2.358,465630.6,0.118750,385.528,179.51
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,40,2.600,0.570,2.732,2.494,2.769,365969.4,0.200000,385.528,141.09
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,80,2.600,0.570,3.840,3.531,3.955,260393.4,0.303125,385.528,100.39
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,160,2.600,0.570,5.679,5.596,6.649,176078.6,0.403125,385.528,67.88
clustered,identity,gray_m32_b32,gray,4096,64,32,32,10,4096,2.600,0.570,51.632,52.949,62.930,19367.8,0.403125,385.528,7.47
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,10,2.600,0.570,1.284,1.059,1.165,778645.6,0.043750,377.251,293.75
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,20,2.600,0.570,1.565,1.562,1.684,638952.1,0.093750,377.251,241.05
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,40,2.600,0.570,2.388,2.379,2.599,418826.2,0.112500,377.251,158.00
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,80,2.600,0.570,3.572,3.547,4.039,279977.3,0.134375,377.251,105.62
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,160,2.600,0.570,5.871,5.556,7.944,170323.3,0.178125,377.251,64.25
clustered,matern,gray_m32_b32,gray,4096,64,32,32,10,4096,2.600,0.570,45.623,45.932,53.122,21918.7,0.190625,377.251,8.27
