dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
clustered,sobolev,mih_m32_b32,mih,8192,256,32,32,10,160,7.527,1.719,99.036,80.419,187.271,10097.4,52326.6,0.106250,3879.725,39.17,1
clustered,sobolev,mih_m32_b32,mih,8192,256,32,32,10,8192,7.527,1.719,48.274,47.106,49.698,20715.1,43325.9,0.135417,3879.725,80.37,1
clustered,identity,mih_m32_b64,mih,8192,256,32,64,10,10,7.042,2.313,24.668,23.873,28.545,40539.0,258788.0,0.056250,3878.607,157.23,1
clustered,identity,mih_m32_b64,mih,8192,256,32,64,10,20,7.042,2.313,23.520,23.297,27.233,42517.8,256138.0,0.087500,3878.607,164.91,1
clustered,identity,mih_m32_b64,mih,8192,256,32,64,10,40,7.042,2.313,29.659,29.249,34.401,33716.4,208731.0,0.114583,3878.607,130.77,1
clustered,identity,mih_m32_b64,mih,8192,256,32,64,10,80,7.042,2.313,226.413,231.913,345.614,4416.7,24236.0,0.166667,3878.607,17.13,1
clustered,identity,mih_m32_b64,mih,8192,256,32,64,10,160,7.042,2.313,308.681,248.746,725.211,3239.6,16504.8,0.177083,3878.607,12.57,1
clustered,identity,mih_m32_b64,mih,8192,256,32,64,10,8192,7.042,2.313,47.192,47.522,49.890,21189.8,39155.8,0.195833,3878.607,82.19,1
clustered,matern,mih_m32_b64,mih,8192,256,32,64,10,10,7.042,2.313,23.439,23.201,27.201,42664.1,262411.2,0.041667,3875.716,165.35,1
clustered,matern,mih_m32_b64,mih,8192,256,32,64,10,20,7.042,2.313,23.500,23.105,26.817,42552.7,257278.8,0.058333,3875.716,164.92,1
clustered,matern,mih_m32_b64,mih,8192,256,32,64,10,40,7.042,2.313,29.182,29.153,33.857,34267.2,208065.1,0.079167,3875.716,132.81,1
clustered,matern,mih_m32_b64,mih,8192,256,32,64,10,80,7.042,2.313,226.695,231.785,349.230,4411.2,23948.1,0.100000,3875.716,17.10,1
clustered,matern,mih_m32_b64,mih,8192,256,32,64,10,160,7.042,2.313,305.928,245.770,715.484,3268.7,16730.3,0.118750,3875.716,12.67,1
clustered,matern,mih_m32_b64,mih,8192,256,32,64,10,8192,7.042,2.313,48.755,47.810,50.146,20510.6,39405.8,0.125000,3875.716,79.49,1
clustered,sobolev,mih_m32_b64,mih,8192,256,32,64,10,10,7.042,2.313,23.811,23.777,27.425,41997.5,265429.5,0.041667,3879.725,162.94,1
clustered,sobolev,mih_m32_b64,mih,8192,256,32,64,10,20,7.042,2.313,21.223,21.153,24.641,47119.1,256006.8,0.060417,3879.725,182.81,1
clustered,sobolev,mih_m32_b64,mih,8192,256,32,64,10,40,7.042,2.313,30.093,29.377,34.849,33230.9,208614.9,0.075000,3879.725,128.93,1
clustered,sobolev,mih_m32_b64,mih,8192,256,32,64,10,80,7.042,2.313,227.748,232.073,346.349,4390.8,23816.2,0.122917,3879.725,17.04,1
clustered,sobolev,mih_m32_b64,mih,8192,256,32,64,10,160,7.042,2.313,304.038,245.066,715.163,3289.1,16604.4,0.127083,3879.725,12.76,1
clustered,sobolev,mih_m32_b64,mih,8192,256,32,64,10,8192,7.042,2.313,47.599,47.426,50.050,21009.1,39425.5,0.135417,3879.725,81.51,1
clustered,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,10,5.743,2.313,23.836,23.553,28.001,41952.9,261678.8,0.056250,3878.607,162.72,1
clustered,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,20,5.743,2.313,23.610,23.489,26.913,42354.5,257988.2,0.087500,3878.607,164.28,1
clustered,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,40,5.743,2.313,24.899,24.289,28.417,40162.3,247678.0,0.118750,3878.607,155.77,1
clustered,identity,hybrid_m32_b64,hybrid,8192,256,32,64,10,80,5.743,2.313,44.402,42.882,52.994,22521.3,135569.9,0.162500,3878.607,87.35,1
